"sample_id","job_id"
"44123fb8512c","spanish-beginner-compact-grounded-t0"
"c5dbb1b1d39b","spanish-beginner-compact-grounded-t1"
"a5ede6d9fbbb","spanish-beginner-compact-grounded-t2"
"15908cb68df4","spanish-beginner-compact-grounded-t3"
"847b00292787","spanish-intermediate-compact-grounded-t0"
"cb5ae7736a6b","spanish-intermediate-compact-grounded-t1"
"5108cca25c22","spanish-intermediate-compact-grounded-t2"
"6b1b2e3052b7","spanish-intermediate-compact-grounded-t3"
"a85e1837c6a0","arabic-beginner-compact-grounded-t0"
"b7add159d9b6","arabic-beginner-compact-grounded-t1"
"9278e6ba70f5","arabic-beginner-compact-grounded-t2"
"0c7bc27aaa27","arabic-beginner-compact-grounded-t3"
"177891690c3e","arabic-intermediate-compact-grounded-t0"
"e2e7a7e4a911","arabic-intermediate-compact-grounded-t1"
"7237af8cc6da","arabic-intermediate-compact-grounded-t2"
"9b861b84e4bd","arabic-intermediate-compact-grounded-t3"
"5f06e38559b5","mandarin-beginner-compact-grounded-t0"
"91f2cb3cff0d","mandarin-beginner-compact-grounded-t1"
"191223f1e776","mandarin-beginner-compact-grounded-t2"
"f8a325bc0f27","mandarin-beginner-compact-grounded-t3"
"ea3e2c0489b3","mandarin-intermediate-compact-grounded-t0"
"95afc3032d9a","mandarin-intermediate-compact-grounded-t1"
"ac98ac4d2dfe","mandarin-intermediate-compact-grounded-t2"
"a17a9dfaecca","mandarin-intermediate-compact-grounded-t3"
