"sample_id","job_id"
"557f4626f0f0","spanish-absolute_zero-opening-r1"
"02b3caa958d2","spanish-absolute_zero-opening-r2"
"7c7f70b39854","spanish-beginner-opening-r1"
"626bf7899b49","spanish-beginner-opening-r2"
"7c178a9c42d4","spanish-intermediate-opening-r1"
"a68b31967231","spanish-intermediate-opening-r2"
"a8c8a2d57ffd","spanish-advanced-opening-r1"
"a688548bebac","spanish-advanced-opening-r2"
"db60a9d91416","spanish-fluent-opening-r1"
"408621b0c7c7","spanish-fluent-opening-r2"
"6addbf417c5c","arabic-absolute_zero-opening-r1"
"adff6c57ed63","arabic-absolute_zero-opening-r2"
"54d181251c7e","arabic-beginner-opening-r1"
"a76d9ac85ddf","arabic-beginner-opening-r2"
"5bbb0c460438","arabic-intermediate-opening-r1"
"4ad37397f3c7","arabic-intermediate-opening-r2"
"1b1c2d960bc5","arabic-advanced-opening-r1"
"59da5b9955e9","arabic-advanced-opening-r2"
"8ebcef0e17bb","arabic-fluent-opening-r1"
"de909268749d","arabic-fluent-opening-r2"
"ba02da209e79","mandarin-absolute_zero-opening-r1"
"854c5d3efb58","mandarin-absolute_zero-opening-r2"
"d0ac00b46cf1","mandarin-beginner-opening-r1"
"60050ff9bb32","mandarin-beginner-opening-r2"
"9b2f4c052137","mandarin-intermediate-opening-r1"
"806417844783","mandarin-intermediate-opening-r2"
"5d1aa2834ed7","mandarin-advanced-opening-r1"
"16e060a658f9","mandarin-advanced-opening-r2"
"c588f7470c60","mandarin-fluent-opening-r1"
"1553cee417b1","mandarin-fluent-opening-r2"
"c34353f71709","spanish-absolute_zero-dialogue-t0"
"c1797cfc042d","spanish-absolute_zero-dialogue-t1"
"3712315e529a","spanish-absolute_zero-dialogue-t2"
"61bf9c3fe6ed","spanish-beginner-dialogue-t0"
"1ae08105daa9","spanish-beginner-dialogue-t1"
"094bfb2e38b8","spanish-beginner-dialogue-t2"
"a1385aa96c90","arabic-absolute_zero-dialogue-t0"
"aafd341749ed","arabic-absolute_zero-dialogue-t1"
"fbda732ac02d","arabic-absolute_zero-dialogue-t2"
"f19f6d40200f","arabic-beginner-dialogue-t0"
"584020e79eed","arabic-beginner-dialogue-t1"
"c23ad392cf0a","arabic-beginner-dialogue-t2"
"de1a39840c02","mandarin-absolute_zero-dialogue-t0"
"91d4902bafb9","mandarin-absolute_zero-dialogue-t1"
"c8c094c40116","mandarin-absolute_zero-dialogue-t2"
"27e81a97cac7","mandarin-beginner-dialogue-t0"
"fc87ba872e5e","mandarin-beginner-dialogue-t1"
"b7ad6c58e675","mandarin-beginner-dialogue-t2"
